The Interview,3/1/2017,2,Comedy,"Evan Goldberg, Seth Rogen",http://www.imdb.com/title/tt2788710/
Green Room,4/1/2017,3,Crime,Jeremy Saulnier,http://www.imdb.com/title/tt4062536/
Unbroken,6/1/2017,3,Biography,Angelina Jolie,http://www.imdb.com/title/tt1809398/
The Take,6/1/2017,2,Action,James Watkins,http://www.imdb.com/title/tt2368619/
Sneakerheadz,7/1/2017,3,Documentary,"David T. Friendly, Mick Partridge",http://www.imdb.com/title/tt3240784/
The Zero Theorem,7/1/2017,3,Drama,Terry Gilliam,http://www.imdb.com/title/tt2333804/
Criminal,8/1/2017,2,Action,Ariel Vromen,http://www.imdb.com/title/tt3014866/
Supersonic,10/1/2017,3,Documentary,Mat Whitecross,http://www.imdb.com/title/tt5213534/
Gimme Danger,19/01/2017,4,Documentary,Jim Jarmusch,http://www.imdb.com/title/tt1714917/
Dennis Hopper: Uneasy Rider,20/01/2017,3,Documentary,Hermann Vaske,http://www.imdb.com/title/tt6140128/
Colors,27/01/2017,3,Crime,Dennis Hopper,http://www.imdb.com/title/tt0094894/
Traders,27/01/2017,3,Thriller,"Rachael Moriarty, Peter Murphy",http://www.imdb.com/title/tt3531578/
Jaco,30/01/2017,3,Documentary," Stephen Kijak, Paul Marchand",http://www.imdb.com/title/tt2385115/
Author: The JT LeRoy Story, 01/02/2017,3,Documentary,Jeff Feuerzeig,http://www.imdb.com/title/tt5278462/
The People vs. Larry Flynt,2/2/2017,2,Biography,Milos Forman,http://www.imdb.com/title/tt0117318/
Exodus: Gods and Kings,3/2/2017,2,Action,Ridley Scott,http://www.imdb.com/title/tt1528100/
The Lobster,4/2/2017,3,Drama,Yorgos Lanthimos,http://www.imdb.com/title/tt3464902/
Yves Saint Laurent,6/2/2017,3,Biography,Jalil Lespert,http://www.imdb.com/title/tt2707858/
Miles Ahead,9/2/2017,3,Biography,Don Cheadle,http://www.imdb.com/title/tt0790770/
Wild,9/2/2017,3,Biography,Jean-Marc Vallée,http://www.imdb.com/title/tt2305051/
I Am Your Father,10/2/2017,2,Documentary,"Toni Bestard, Marcos Cabotá",http://www.imdb.com/title/tt2949296/
David Brent: Life on the Road,14/02/2017,2,Comedy,Ricky Gervais,http://www.imdb.com/title/tt3137630/
Metallica: This Monster Lives,15/02/2017,3,Documentary,Joe Berlinger,http://www.imdb.com/title/tt4011064/
D'Ardennen,17/02/2017,3,Drama,Robin Pront,http://www.imdb.com/title/tt2586118/
Rush: Beyond the Lighted Stage,18/02/2017,4,Documentary,"Sam Dunn, Scot McFadyen",http://www.imdb.com/title/tt1545103/
Barney's Version,18/02/2017,3,Drama,Richard J. Lewis,http://www.imdb.com/title/tt1423894/
Casablancas: The Man Who Loved Women,22/02/2017,1,Documentary,Hubert Woroniecki,http://www.imdb.com/title/tt5078372/
13th,23/02/2017,4,Documentary,Ava DuVernay,http://www.imdb.com/title/tt5895028/
Suburra,24/02/2017,3,Crime,Stefano Sollima,http://www.imdb.com/title/tt4025514/
Blackhat,25/02/2017,2,Crime,Michael Mann,http://www.imdb.com/title/tt2717822/
I Don't Feel at Home in This World,2/3/2017,3,Crime,Macon Blair,http://www.imdb.com/title/tt5710514/
Whiplash,4/3/2017,4,Drama,Damien Chazelle,http://www.imdb.com/title/tt2582802/
The Water Diviner,1/1/2016,3,Drama,Russell Crowe,http://www.imdb.com/title/tt3007512/
Chinatown,1/1/2016,4,Drama,Roman Polanski,http://www.imdb.com/title/tt0071315/
Iron Man 3,2/1/2016,3,Action,Shane Black,http://www.imdb.com/title/tt1300854/
The Man in the High Castle, 14/01/2106,3,Drama,Frank Spotnitz,http://www.imdb.com/title/tt1740299/
Cobain: Montage of Heck,16/01/2016,3,Documentary,Brett Morgen,http://www.imdb.com/title/tt4229236/
The Wolf of Wall Street,20/01/2016,3,Biography,Martin Scorsese,http://www.imdb.com/title/tt0993846/
Getaway,21/01/2016,1,Action,Courtney Solomon,http://www.imdb.com/title/tt2167202/
The Wicker Man,23/01/2016,3,Horror,Robin Hardy,http://www.imdb.com/title/tt0070917/
The Guvnors,24/01/2016,1,Thriller, Gabe Turner, http://www.imdb.com/title/tt2992524/
Art and Craft, 28/01/2016,2,Documentary,"Sam Cullman, Jennifer Grausman",http://www.imdb.com/title/tt3654964/
Interstellar,29/01/2016,4,Sci-Fi,Christopher Nolan,http://www.imdb.com/title/tt0816692/
Man Up,30/01/2016,3,Comedy,Ben Palmer,http://www.imdb.com/title/tt3064298/
Gravity,31/01/2016,4,Sci-Fi,Alfonso Cuarón,http://www.imdb.com/title/tt1454468/
Once Upon a Time in America,31/01/2016,4,Crime,Sergio Leone,http://www.imdb.com/title/tt0087843/
42,3/2/2016,3,Biography, Brian Helgeland,http://www.imdb.com/title/tt0453562/
La crème de la crème,6/2/2016,2,Comedy,Kim Chapiron,http://www.imdb.com/title/tt2536428/
Black Mass,8/2/2016,3,Biography,Scott Cooper,http://www.imdb.com/title/tt1355683/
Steve Jobs,8/2/2016,3,Biography,Danny Boyle,http://www.imdb.com/title/tt2080374/
Torque,9/2/2016,2,Action,Joseph Kahn,http://www.imdb.com/title/tt0329691/
The Program,14/02/2016,3,Biography,Stephen Frears,http://www.imdb.com/title/tt3083008/
Love & Mercy,14/02/2016,3,Biography,Bill Pohlad,http://www.imdb.com/title/tt0903657/
Northmen - A Viking Saga,17/02/2016,2,Action,Claudio Fäh,http://www.imdb.com/title/tt2290553/
Mandela: Long Walk to Freedom,18/02/2016,3,Biography,Justin Chadwick,http://www.imdb.com/title/tt2304771/
Chappie,1/3/2016,3,Action,Neill Blomkamp,http://www.imdb.com/title/tt1823672/
Line of Sight,14/03/2016,4,Documentary,Benny Zenga,http://www.imdb.com/title/tt2286630/
Danny Collins,18/03/2016,3,Drama,Dan Fogelman,http://www.imdb.com/title/tt1772288/
Captain America: The Winter Soldier,18/03/2016,3,Action,"Anthony Russo, Joe Russo",http://www.imdb.com/title/tt1843866/
Pantani: The Accidental Death of a Cyclist,20/03/2016,3,Documentary,James Erskine,http://www.imdb.com/title/tt2966760/
180° South,24/03/2016,3,Documentary,Chris Malloy,http://www.imdb.com/title/tt1407927/
Janis: Little Girl Blue,25/03/2016,3,Documentary,Amy Berg,http://www.imdb.com/title/tt3707114/
Mr. Holmes,26/03/2016,3,Drama,Bill Condon,http://www.imdb.com/title/tt3168230/
Spectre,27/03/2016,3,Action,Sam Mendes,http://www.imdb.com/title/tt2379713/
The Grand Budapest Hotel,28/03/2016,4,Comedy,Wes Anderson,http://www.imdb.com/title/tt2278388/
Nieuwe helden - in het hart van de tour, 01/04/2016,4,Documentary, Dirk Jan Roeleven,http://www.imdb.com/title/tt3726324/
